Timestamp,Student Name,Student ID,Student Email,Practical Number,Total Score,Max Score,Grade Letter,AI Detected,AI Confidence,Overall Feedback
2026-01-30T06:59:37Z,Test Student Final,2024TEST999,test.final@example.com,1,55,100,F,No,0%,"This submission demonstrates a basic conceptual understanding of prompt engineering principles but f"
2026-01-30T07:16:01Z,Daya,WoU202601,daya@woxsen.edu.in,1,42,100,F,No,0%,"This submission demonstrates a surface-level understanding of prompt engineering concepts but falls "
2026-01-30T07:26:22Z,Rajesh Sharma,2024CS015,rajesh.sharma@example.com,1,32,100,F,No,0%,"This submission demonstrates a very basic, surface-level understanding of prompt engineering but fai"
2026-01-30T09:59:43Z,Sanity Check,2024SANITY01,sanity.check@test.edu,1,8,100,F,No,0%,"This submission represents an incomplete attempt at the assignment and does not demonstrate understanding of prompt engineering concepts. The entire submission consists of a single line of code that a"
2026-01-30T10:06:59Z,Unknown,Unknown,Unknown,1,0,100,F,No,0%,"This submission represents a fundamental misunderstanding of the assignment requirements. You have submitted a well-implemented JavaScript calculator program for an assignment that requires prompt eng"
2026-01-30T10:37:44Z,Verified Test,2024VERIFY01,verified.test@university.edu,1,0,100,F,No,0%,"This submission receives a score of 0/100 because it does not address the assignment requirements at all. The student submitted a JavaScript calculator implementation for an assignment that requires p"
2026-01-30T10:41:36Z,Debug Two,2024DEBUG02,debug.two@test.edu,1,0,100,F,No,0%,"This submission demonstrates a fundamental misunderstanding of the assignment requirements. The student submitted a JavaScript calculator class for an assignment that requires prompt engineering work "
2026-01-30T10:49:33Z,Debug Four,2024DEBUG04,debug.four@test.edu,1,0,100,F,No,0%,"This submission does not meet any of the assignment requirements and appears to be either a placeholder file or a fundamental misunderstanding of the task. The assignment required implementing prompt "
2026-01-30T11:05:20Z,Debug Six,2024DEBUG06,debug.six@test.edu,1,0,100,F,No,0%,"This submission does not meet any of the assignment requirements and appears to be either a placeholder or an accidental submission. The assignment required implementing prompt engineering with API ca"
2026-01-30T11:09:28Z,Verify Test,2024VERIFY99,verify.test@university.edu,1,0,100,F,No,0%,"This submission fundamentally misunderstands the assignment requirements. Instead of demonstrating prompt engineering skills with language model APIs, you submitted a JavaScript calculator application"
